povrate60,mort_related_post,mort_injury_post,mort_related_pre
-6.2391181,0,31.595577,14.318442
-17.527388,0,11.648732,11.500201
6.4472451,4.1084633,20.542316,16.655563
-2.9278502,0,26.693359,10.162601
-13.573941,0,12.74413,0
12.686351,9.0440445,63.308311,0
4.0731416,4.9649968,14.89499,11.462632
-25.135321,3.0577612,14.269552,9.5328884
-16.420023,2.7555041,24.799538,8.373106
-11.992475,12.558869,43.956043,29.291155
-6.9693923,0,29.610985,24.866343
2.9108224,0,16.834072,0
-.73222494,10.557804,35.19268,0
-9.4329195,0,24.384296,0
-6.998693,0,18.258171,0
-8.514329,5.7636886,14.409222,4.9005194
-23.871778,0,23.583895,0
3.7629418,0,27.363523,16.00256
-7.4996276,0,47.267914,13.728721
-12.889142,3.4018233,17.009117,9.4082232
5.7097192,8.393487,67.147896,0
-11.117063,3.7777903,20.777847,3.5280836
-18.519571,0,23.982384,5.0413389
-.98904562,3.4520254,24.164179,4.7415838
-9.569684,0,32.5168,8.0282593
-11.265985,0,31.421839,5.038291
-11.952592,0,13.788919,22.121937
-23.371653,0,13.68457,9.414423
-6.6848502,0,25.122473,10.300783
-9.324399,0,34.299435,0
-5.3888984,4.7562428,23.781214,7.1684589
18.58742,8.9581652,17.91633,0
11.55836,0,0,6.4449601
4.8583856,7.2939458,14.587892,0
-13.165711,2.8747196,27.309837,8.7904358
-7.0982566,4.3614793,23.988136,16.079756
-28.357517,1.4783195,18.109415,3.5608478
-12.252862,0,34.314735,0
-23.898294,6.0412922,12.082584,4.9514756
-2.4272094,6.5789475,29.605263,11.411617
-16.68767,1.766098,28.257568,10.002001
-10.13054,0,21.532131,0
17.748934,6.3856959,44.699871,15.124017
1.3188348,4.3256335,17.302534,5.7392101
-29.806906,2.8470075,11.957432,7.3855243
3.986052,0,19.744896,9.5183706
-6.4384971,3.8317113,22.990267,0
-18.060724,1.7736472,24.83106,3.2206118
-27.215893,2.1056747,23.463234,6.6643562
3.1705575,0,21.501677,5.831584
-22.441835,5.0379248,13.434465,7.9365077
-22.737032,3.6956735,22.174042,2.4875622
15.938411,6.6374617,46.462234,30.921459
-.28282687,0,4.9566293,6.3107409
2.7223001,0,4.3569188,0
-8.4775743,0,34.040623,17.325018
-9.2005129,2.2016249,28.621122,8.8683929
-14.778321,2.712085,27.12085,0
-14.114633,0,19.089931,9.4428711
14.644816,0,11.761247,0
-13.855683,4.2081637,22.443541,12.903226
-18.526106,0,37.037037,0
-18.628878,3.6667309,19.250338,11.615414
-14.541669,0,16.566166,2.865658
-4.9747176,0,32.99604,0
19.455881,6.1236987,55.113289,12.588117
-8.6546717,0,20.909567,0
6.8555017,4.762434,33.337036,17.95977
-34.327717,2.5927222,20.741777,8.0372934
-24.422873,2.7553902,38.575462,8.8558273
-29.980112,0,26.399929,10.670081
-23.367758,4.5326805,49.859486,9.540164
-36.274059,7.5924377,7.5924377,10.780509
-38.270195,2.3802805,17.597073,7.4520221
-34.535946,0,48.366295,19.77066
-7.1979575,1.2644622,39.19833,18.474045
-38.966034,1.9967952,15.724762,8.4731398
-20.204138,2.2202981,27.753725,6.0997925
-23.45006,4.7129793,4.7129793,0
-35.930862,2.3063796,29.982933,12.241401
-34.290119,0,29.204124,6.2574306
-13.295377,0,19.08215,12.377769
-11.986028,3.8424592,23.054754,11.811954
-14.038018,0,19.097332,19.312475
-19.793673,3.4035022,17.017511,5.1856461
-15.115762,0,30.931025,11.795235
-8.2050676,0,18.47575,0
-.39912555,0,23.272051,0
-13.299928,8.9702187,17.940437,0
8.144969,0,36.764706,14.361626
-12.062707,0,40.726089,8.6490231
-9.7220087,6.239471,24.957884,7.940289
-1.9874206,8.6933842,17.386768,0
-1.0516601,0,29.971527,0
-13.035863,0,37.256088,6.0408359
-6.9820418,11.731582,35.194744,0
-17.56761,0,11.743752,10.695188
-13.108357,0,15.580692,0
4.1974969,1.8716778,20.588455,12.616705
1.5456529,0,9.4723883,14.380213
-1.6091552,0,0,28.810141
.42373517,0,5.0446453,6.3107409
-3.2763801,0,19.584803,0
-13.816304,2.7902565,13.951283,0
-8.9796839,0,49.722382,52.356022
4.1221223,0,13.189132,0
-20.197279,6.1518273,22.5567,8.0456991
-12.65944,0,17.914726,0
-9.4444895,0,11.735252,0
-6.8205199,5.1419168,20.567667,0
-22.048952,4.5526977,9.1053953,0
-12.669995,0,17.708517,0
-3.2847495,4.2165627,59.031876,0
1.291163,0,14.480163,0
-12.591855,5.2918453,26.459227,6.6586761
-11.308919,6.1227236,34.287254,5.240541
-5.7664313,7.1772051,0,15.56178
.099665187,0,41.614647,14.040999
1.3633714,0,6.5850124,0
12.410274,0,11.354605,6.0081711
3.2428079,0,35.310734,10.442774
-3.9535689,0,14.754704,16.469038
-4.1389747,0,12.114604,0
-3.9460196,0,15.352022,24.393219
2.0234094,0,22.449209,0
-3.8984809,0,0,0
-12.744962,0,29.941017,4.9825611
-.009351233,1.6366345,21.276247,5.7136326
7.9009118,29.895367,14.947683,7.5448923
-8.1425219,0,35.945362,0
-1.3651748,10.430792,52.153957,0
13.839259,0,15.559359,0
-14.524774,0,31.720856,4.5289855
2.9023499,15.092062,75.460304,32.615788
3.4568582,2.632133,44.746262,5.8366895
-5.3435264,0,0,0
-.79645681,0,43.228798,13.623979
-11.437703,0,0,0
-12.254354,0,18.573551,17.553099
-8.4908533,10.723861,10.723861,0
-30.723076,2.001014,19.343134,6.0384045
-5.6389441,14.878738,7.4393692,0
9.9911833,2.9663029,26.696726,3.7385974
-30.076874,0,25.602184,12.327416
1.0571389,0,24.829298,0
5.2528939,0,15.19295,0
-28.051178,2.3476658,21.128992,2.483855
-16.058306,0,16.489405,0
3.3421159,0,31.789764,31.92848
8.3976316,0,0,0
-22.595102,0,32.266071,3.1322434
3.5916352,0,10.345541,0
-24.52886,2.6941469,25.594397,6.801333
-12.325398,0,26.948895,0
7.0766854,9.7665787,9.7665787,0
-6.1809402,13.353809,13.353809,0
-26.485636,136.05443,0,0
-42.613766,0,8.911068,0
-40.03001,2.1441972,24.658268,2.1242247
-37.152485,9.154994,18.309988,0
-35.284988,2.7071719,15.340641,3.9761114
-40.461235,0,35.100037,9.0481358
-33.020809,3.2393911,12.957564,13.865779
